Date,Open,High,Low,Close,Adj Close,Volume
2019-08-14,146.949997,147.199997,144.779999,144.869995,142.722565,3938800
2019-08-15,145.309998,145.660004,144.050003,145.139999,142.988556,3591900
2019-08-16,146.080002,147.600006,146.000000,147.339996,145.155945,3659300
2019-08-19,149.089996,149.479996,148.630005,149.089996,146.880020,2875000
2019-08-20,148.809998,149.029999,147.899994,147.949997,145.756912,1739000
2019-08-21,149.160004,149.399994,148.820007,149.199997,146.988373,1439700
2019-08-22,149.610001,149.899994,148.130005,149.070007,146.860321,1730700
2019-08-23,148.410004,149.300003,144.639999,145.309998,143.156036,3808300
2019-08-26,146.529999,146.880005,145.660004,146.779999,144.604248,3623000
2019-08-27,147.639999,147.830002,145.679993,146.100006,143.934341,1984700
2019-08-28,145.690002,147.240005,145.309998,147.139999,144.958908,1981000
2019-08-29,148.589996,149.380005,148.100006,149.089996,146.880020,2576000
2019-08-30,149.880005,149.889999,148.440002,149.039993,146.830734,2267900
2019-09-03,147.990005,148.550003,147.369995,148.070007,145.875137,4307800
2019-09-04,149.300003,149.649994,148.820007,149.649994,147.431702,2071700
2019-09-05,151.000000,152.110001,150.750000,151.649994,149.402054,2991800
2019-09-06,151.809998,152.059998,151.399994,151.679993,149.431610,1568700
2019-09-09,152.220001,152.270004,151.149994,151.770004,149.520294,2575200
2019-09-10,151.360001,151.919998,150.630005,151.919998,149.668060,3435200
2019-09-11,152.089996,153.169998,151.699997,153.160004,150.889679,3848100
2019-09-12,153.630005,154.130005,153.050003,153.619995,151.342850,3486800
2019-09-13,153.869995,154.080002,153.279999,153.470001,151.195084,3002500
2019-09-16,152.220001,152.690002,152.039993,152.460007,150.888275,1690800
2019-09-17,152.350006,152.869995,152.000000,152.830002,151.254456,2104500
2019-09-18,152.649994,152.839996,151.350006,152.809998,151.234665,1716700
2019-09-19,153.130005,153.610001,152.550003,152.710007,151.135712,2061400
2019-09-20,153.000000,153.229996,151.600006,152.039993,150.472595,2106100
2019-09-23,151.710007,152.460007,151.570007,152.119995,150.551773,2051800
2019-09-24,152.600006,152.809998,150.199997,150.710007,149.156326,4234600
2019-09-25,150.729996,151.910004,149.919998,151.660004,150.096527,6144100
2019-09-26,151.660004,151.660004,150.470001,151.199997,149.641266,1723000
2019-09-27,151.639999,151.710007,149.440002,150.300003,148.750549,1940200
2019-09-30,150.649994,151.369995,150.550003,151.000000,149.443329,1702000
2019-10-01,151.500000,151.880005,148.919998,149.029999,147.493637,2823000
2019-10-02,148.179993,148.240005,145.820007,146.610001,145.098587,3811500
2019-10-03,146.479996,147.800003,144.899994,147.800003,146.276321,4380400
2019-10-04,148.360001,149.809998,148.039993,149.729996,148.186417,2509200
2019-10-07,149.380005,150.190002,148.889999,149.139999,147.602509,2237400
2019-10-08,148.039993,148.360001,146.710007,146.729996,145.217346,2213900
2019-10-09,147.850006,148.589996,147.520004,148.080002,146.553436,3294600
2019-10-10,148.000000,149.500000,147.990005,149.029999,147.493637,3508900
2019-10-11,150.509995,151.899994,150.470001,150.630005,149.077148,3377100
2019-10-14,150.520004,150.750000,150.250000,150.490005,148.938583,1213500
2019-10-15,151.029999,152.330002,150.919998,151.970001,150.403336,2153200
2019-10-16,151.639999,152.050003,151.369995,151.690002,150.126221,1578400
2019-10-17,152.330002,152.639999,151.839996,152.190002,150.621063,1640400
2019-10-18,151.940002,152.199997,150.899994,151.580002,150.017349,1720000
2019-10-21,152.350006,152.690002,152.059998,152.570007,150.997147,1710100
2019-10-22,152.929993,153.009995,152.039993,152.110001,150.541885,1711800
2019-10-23,151.970001,152.490005,151.770004,152.419998,150.848694,1804000
2019-10-24,153.009995,153.080002,152.279999,152.839996,151.264359,1582200
2019-10-25,152.490005,153.759995,152.419998,153.449997,151.868057,2461600
2019-10-28,154.119995,154.660004,154.000000,154.380005,152.788483,2725500
2019-10-29,154.229996,154.800003,154.110001,154.350006,152.758804,1561500
2019-10-30,154.399994,154.940002,153.639999,154.720001,153.124985,2246000
2019-10-31,154.679993,154.679993,153.419998,154.179993,152.590546,2224400
2019-11-01,155.000000,155.830002,154.919998,155.830002,154.223526,2341400
2019-11-04,156.699997,156.770004,156.179993,156.399994,154.787659,2150600
2019-11-05,156.600006,156.779999,156.070007,156.259995,154.649094,2377100
2019-11-06,156.240005,156.300003,155.630005,156.190002,154.579834,2288400
2019-11-07,157.000000,157.339996,156.410004,156.720001,155.104355,2407300
2019-11-08,156.559998,157.160004,156.080002,157.160004,155.539841,2132400
2019-11-11,156.399994,156.929993,156.250000,156.850006,155.233032,1738900
2019-11-12,157.029999,157.690002,156.740005,157.119995,155.500244,1730700
2019-11-13,156.570007,157.389999,156.389999,157.190002,155.569519,2189400
2019-11-14,156.990005,157.440002,156.720001,157.350006,155.727875,2096200
2019-11-15,158.149994,158.550003,157.789993,158.550003,156.915497,2615300
2019-11-18,158.419998,158.740005,158.119995,158.639999,157.004562,3128400
2019-11-19,159.050003,159.149994,158.259995,158.690002,157.054047,2225200
2019-11-20,158.320007,158.720001,157.250000,158.190002,156.559204,3336200
2019-11-21,158.270004,158.339996,157.440002,157.789993,156.163330,2220300
2019-11-22,158.309998,158.339996,157.610001,158.139999,156.509720,1886000
2019-11-25,158.759995,159.639999,158.600006,159.639999,157.994247,2525300
2019-11-26,159.669998,160.059998,159.479996,159.979996,158.330750,1884900
2019-11-27,160.380005,160.740005,160.020004,160.740005,159.082932,2343200
2019-11-29,160.460007,160.550003,159.919998,160.020004,158.370346,1171000
2019-12-02,160.259995,160.360001,158.449997,158.570007,156.935303,3766700
2019-12-03,157.089996,157.710007,156.380005,157.630005,156.004974,4040300
2019-12-04,158.289993,158.960007,158.100006,158.649994,157.014465,2132100
2019-12-05,159.000000,159.000000,158.179993,158.880005,157.242096,1858100
2019-12-06,159.979996,160.539993,159.889999,160.289993,158.637558,2021000
2019-12-09,160.089996,160.429993,159.750000,159.779999,158.132813,1934300
2019-12-10,159.770004,160.100006,159.289993,159.639999,157.994247,2150800
2019-12-11,159.889999,160.139999,159.570007,160.020004,158.370346,1781300
2019-12-12,160.020004,161.779999,159.839996,161.330002,159.666840,3012200
2019-12-13,161.250000,162.089996,160.669998,161.330002,159.666840,3023500
2019-12-16,162.360001,162.880005,162.220001,162.509995,160.834671,2466000
2019-12-17,162.770004,162.860001,162.440002,162.570007,160.894058,4421500
2019-12-18,162.830002,162.919998,162.259995,162.639999,160.963318,2139800
2019-12-19,162.740005,163.350006,162.699997,163.350006,161.666016,3018600
2019-12-20,164.000000,164.339996,163.860001,164.190002,162.497345,3142900
2019-12-23,164.559998,164.589996,164.199997,164.289993,162.596313,3822900
2019-12-24,163.679993,163.720001,163.250000,163.440002,162.632141,1624900
2019-12-26,163.699997,164.229996,163.630005,164.229996,163.418228,2515000
2019-12-27,164.610001,164.679993,163.800003,164.080002,163.268982,2356700
